Pmax=? [ F crash=1 ]:
N	Result
0	Error: Invalid range (1-0) for variable "k" ("[1..N]", line 36, column 11).
1	Error: Invalid range (1-1) for variable "k" ("[1..N]", line 36, column 11).
2	0.9998854173486101
3	0.9999905841614819
4	0.9999994755290782
5	0.9999998524205764
6	0.9999998809738977
7	0.9999998821108705
8	0.9999998821508687
9	0.9999998821516604
10	0.9999998821516604
11	0.9999998821516604
12	0.9999998821516604
13	0.9999998821516604
14	0.9999998821516604
15	0.9999998821516604
16	0.9999998821516604
17	0.9999998821516604
18	0.9999998821516604
19	0.9999998821516604
20	0.9999998821516604
21	0.9999998821516604
22	0.9999998821516604
23	0.9999998821516604
24	0.9999998821516604
25	0.9999998821516604
26	0.9999998821516604
27	0.9999998821516604
28	0.9999998821516604
29	0.9999998821516604
30	0.9999998821516604

Pmin=? [ F crash=1 ]:
N	Result
0	Error: Invalid range (1-0) for variable "k" ("[1..N]", line 36, column 11).
1	Error: Invalid range (1-1) for variable "k" ("[1..N]", line 36, column 11).
2	0.16060998334235627
3	0.21375699007218935
4	0.2669420968904458
5	0.3164080468144113
6	0.36254044809725783
7	0.40555936485666927
8	0.44567523044628204
9	0.4830838744139494
10	0.5179679911676475
11	0.5504979512601754
12	0.5808326250399637
13	0.6091200621334178
14	0.6354986228466661
15	0.6600970245242895
16	0.6830354013109101
17	0.7044257800967457
18	0.7243725070322032
19	0.7429732523032185
20	0.7603187246673334
21	0.776493636323817
22	0.7915769826626855
23	0.8056424278744126
24	0.8187585357966138
25	0.8309896386204774
26	0.8423953239350421
27	0.8530312951452486
28	0.8629494924616564
29	0.8721983579237808
30	0.8808230628624265
