multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
N	Result
1	[(0.0, 0.010556927734841846)]
2	[(0.01519450986245696, 0.3046414909695319), (0.024284674107100925, 0.0851708373282427)]
3	[(0.028072189859095216, 0.5493093073732869), (0.036354228689632694, 0.5389760044185875), (0.07148366401894181, 0.2756238491420373), (0.07549334734508818, 0.17881505704541084)]
4	[(0.11517369770179345, 0.2597153713999142), (0.0989552888095666, 0.38948552055068975), (0.11703368312535123, 0.0), (0.09818131730526004, 0.39399131694794887), (0.050933998354169355, 0.6547249889515776), (0.03221407854360059, 0.6880139498731843), (0.03482699961515981, 0.6879815005896023), (0.04104126141844553, 0.6810343396350407)]
5	[(0.03920365270333708, 0.7727693753164722), (0.0, 0.7729749825172286), (0.047089206057466027, 0.7614975563440519), (0.061872228807987956, 0.7183498404422296), (0.11970571275128489, 0.476124299651982), (0.1409333214282476, 0.35886278401351407), (0.15053383773439555, 0.28610988116709385), (0.1520199146766598, 0.24254139393748353)]
6	[(0.1366222524275191, 0.5438428350030179), (0.05368760025303851, 0.80839021340784), (0.16221039432240464, 0.4366916002521015), (0.17581648501421931, 0.3607508057143969), (0.18163681183904506, 0.30186276574299775), (0.1824418725114746, 0.2680281049882352), (0.037532273678183146, 0.8265404124821243), (0.04231583899517821, 0.8261292887912752), (0.04741331070435314, 0.8212599981324094)]
7	[(0.044565195128069224, 0.8613075244847272), (0.0, 0.8621930745287316), (0.05552642417084466, 0.8467777837508593), (0.14224139272623573, 0.6246398293510638), (0.1830560083747163, 0.4908491406682162), (0.20130859899641446, 0.40566306495294435), (0.20879362325441453, 0.32454224679484583), (0.20948952522842312, 0.2936310457302919)]
8	[(0.04259478847735649, 0.8867833829218986), (0.0, 0.8869286494918621), (0.05747437167378566, 0.8719724983263881), (0.14983594714446374, 0.6768015108685423), (0.21021652703945212, 0.508821691414653), (0.22537377246182877, 0.4319896532285743), (0.23317782714465454, 0.3443198745751169), (0.2336801338097355, 0.318581416291011)]
9	[(0.044013604932457435, 0.904271968378064), (0.0, 0.9045864947617166), (0.05971771388473423, 0.8883969407960972), (0.1551602414721502, 0.7164401546864716), (0.23040922803041822, 0.5365407516559454), (0.24746433322973727, 0.4491652339913938), (0.254946845620396, 0.36438425810536634), (0.25537611893869694, 0.341587126196955)]
10	[(0.04438794674529277, 0.9172132663666908), (0.0, 0.9174201040611258), (0.06099020010746743, 0.9009559638752485), (0.2030377597631807, 0.666543484543387), (0.2500111779272243, 0.5511144370970668), (0.2675424778655995, 0.46176771794769944), (0.2744865021556095, 0.3828317042130201), (0.2748626730757584, 0.36250958693660473)]
11	[(0.04444293753737508, 0.9268265561962743), (0.0, 0.9268767132228479), (0.06181587443083848, 0.9102683801444336), (0.2855615360222391, 0.4727246851598984), (0.2673055145058946, 0.5621967228653939), (0.29204297406346413, 0.39961274729226437), (0.29237702594752435, 0.38136749755998867), (0.16286938230729364, 0.7659154965625843), (0.20798281574586455, 0.6944621542967235), (0.244757350897988, 0.6251407169284436)]
