N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	1.0
2	0.7847581865986775
3	0.1860733220014401
4	0.09959480059333675
5	0.02454832762633174
6	0.008593148338100765
7	0.0028886145195799523
8	0.0011945096191918487
9	4.296589844807535E-4
10	1.5789854501176333E-4
11	5.6727961328567695E-5
12	2.1828298533142212E-5
13	8.102780449008376E-6
14	2.9842286987024087E-6
15	1.0904582072719258E-6
16	4.084690396735906E-7
17	1.521598056392779E-7
18	5.629431177861959E-8
19	2.073171454317815E-8
20	7.701696136566013E-9
21	2.8637612438799545E-9
22	1.0615225473220785E-9
23	3.9238701793052577E-10
24	1.4544689468255788E-10
25	5.3990667612201984E-11
26	2.0021330815844788E-11
27	7.413387478304407E-12
28	2.7469146563513956E-12
29	1.0187385076972015E-12
30	3.7774758436565226E-13
