Pmax=? [ F (pc=-1) ]:
N	Result
1	0.0
2	5.709726607007119E-4
3	7.964763675835102E-4
4	8.855029734765418E-4
5	9.206555370098198E-4
6	9.345386559372619E-4
7	9.400231968111867E-4
8	9.421906807965314E-4
9	9.430476893746201E-4
10	9.433867639282505E-4
11	9.435210322806501E-4
12	9.435742596195972E-4
13	9.435953909406222E-4
14	9.43603795995469E-4
15	9.436071473588735E-4
16	9.436084879019591E-4
17	9.436084879019591E-4
18	9.436084879019591E-4
19	9.43609026306692E-4
20	9.436092436710675E-4

Pmax=? [ F (pc=-2) ]:
N	Result
1	0.5615687992988607
2	0.8155808208125674
3	0.9245524950679491
4	0.967705548722583
5	0.9848142464680525
6	0.9916073227191446
7	0.9943097575778654
8	0.9953875449706207
9	0.9958187830606582
10	0.9959920456035023
11	0.9960620275704992
12	0.996090482279022
13	0.9961021478508303
14	0.9961069788207173
15	0.9961090037029108
16	0.9961098305325287
17	0.9961098644644313
18	0.9961102206619965
19	0.9961102362683998
20	0.9961103997199885

Pmax=? [ F (pc<0) ]:
N	Result
1	0.5615687992988607
2	0.816151793473268
3	0.9253489714355327
4	0.9685910516960596
5	0.9857349020050623
6	0.9925418613750818
7	0.9952497807746767
8	0.9963297356514171
9	0.9967618307500328
10	0.9969350932928769
11	0.9970054143344274
12	0.9970340033113025
13	0.9970457221104498
14	0.997050574211658
15	0.9970526074989063
16	0.9970534376798874
17	0.9970534716117903
18	0.9970538291498985
19	0.9970538452947066
20	0.9970540087462954

Pmax=? [ F pc!=-2 U pc=-1 ]:
N	Result
1	0.0
2	5.709726607007119E-4
3	7.964763675835102E-4
4	8.855029734765418E-4
5	9.206555370098198E-4
6	9.345386559372619E-4
7	9.400231968111867E-4
8	9.421906807965314E-4
9	9.430476893746201E-4
10	9.433867639282505E-4
11	9.435210322806501E-4
12	9.435742596195972E-4
13	9.435953909406222E-4
14	9.43603795995469E-4
15	9.436071473588735E-4
16	9.436084879019591E-4
17	9.436084879019591E-4
18	9.436084879019591E-4
19	9.43609026306692E-4
20	9.436092436710675E-4

Pmax=? [ G pc!=-2 U pc=-1 ]:
N	Result
1	0.0
2	5.709726607007119E-4
3	7.964763675835102E-4
4	8.855029734765418E-4
5	9.206555370098198E-4
6	9.345386559372619E-4
7	9.400231968111867E-4
8	9.421906807965314E-4
9	9.430476893746201E-4
10	9.433867639282505E-4
11	9.435210322806501E-4
12	9.435742596195972E-4
13	9.435953909406222E-4
14	9.43603795995469E-4
15	9.436071473588735E-4
16	9.436084879019591E-4
17	9.436084879019591E-4
18	9.436084879019591E-4
19	9.43609026306692E-4
20	9.436092436710675E-4
