Pmax=? [ F crash=1 ]:
N	Result
0	Error: Invalid range (1-0) for variable "k" ("[1..N]", line 39, column 12).
1	Error: Invalid range (1-1) for variable "k" ("[1..N]", line 39, column 12).
2	0.9937041017350418
3	0.996105524507785
4	0.999822090417347
5	0.9999803708228092
6	0.9999957314486005
7	0.9999974906928135
8	0.9999981841674399
9	0.999998658602753
10	0.9999990087197519
11	0.9999992672218776
12	0.9999994586213475
13	0.9999996001350526
14	0.9999997049430412
15	0.9999997817598144
16	0.9999998382182973
17	0.9999998798343386
18	0.9999999105808794
19	0.9999999333473111
20	0.9999999502423818
21	0.999999962805408
22	0.9999999721660636
23	0.9999999791516394
24	0.9999999843714208
25	0.9999999882766276
26	0.9999999912012973
27	0.999999993393485
28	0.999999995037932
29	0.9999999962721983
30	0.9999999971982265

Pmin=? [ F crash=1 ]:
N	Result
0	Error: Invalid range (1-0) for variable "k" ("[1..N]", line 39, column 12).
1	Error: Invalid range (1-1) for variable "k" ("[1..N]", line 39, column 12).
2	0.161183918999097
3	0.21565062590058845
4	0.27547656441595963
5	0.3298984487201073
6	0.3803129558106873
7	0.426926886622015
8	0.47003509221385376
9	0.5099006005933698
10	0.5467672009381123
11	0.5808607063015767
12	0.6123894889401708
13	0.6415466990029065
14	0.6685104804689006
15	0.6934461324037303
16	0.7165058779741377
17	0.7378311711761277
18	0.7575523099852277
19	0.7757898293748451
20	0.7926556029951274
21	0.8082525522136614
22	0.822676392188909
23	0.8360150637306466
24	0.8483505486821816
25	0.8597579272611362
26	0.8703073971113564
27	0.8800631114695223
28	0.8890851815011224
29	0.8974285588766034
30	0.9051441689508022
