multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
N	Result
1	[(0.0, 0.0)]
2	[(0.06414867356341845, 0.0014508908345058314), (0.24619971722903097, 0.0012156110200770866)]
3	[(0.6796999909372426, 0.014216892955613205), (0.0, 0.014228656946334644), (0.7283350302176078, 0.011144289832626254)]
4	[(0.7482836101918735, 0.015515599062258235), (0.7967826556903945, 0.012275952343275399)]
5	[(0.771372887942871, 0.015782626358472), (0.0, 0.015964371155603087), (0.8174567257964453, 0.012515903238485341)]
6	[(0.7924925254512929, 0.016013857642296132), (0.0, 0.016218566145638227), (0.8403850968834881, 0.012515907359213272)]
7	[(0.7412743664838648, 0.023174130009615018), (0.0, 0.023202400676443156), (0.9203237484303003, 0.014231602527123367)]
8	[(0.7855378733294837, 0.02507760251840998), (0.0, 0.025116578611184347), (0.9433896100550815, 0.014656074050547583)]
9	[(0.8226788408094933, 0.025920264957390096), (0.0, 0.026027037821031895), (0.9549492733443574, 0.014976850732950877)]
10	[(0.5976435096535226, 0.026473134788157996), (0.8457530330618173, 0.026344158120484067), (0.9517114673116631, 0.019174950423362487), (0.9629153857464001, 0.014542617693407615)]
11	[(0.7558068591586423, 0.03040192257996958), (0.824220209712378, 0.030358283365223115), (0.9279143666170817, 0.026478390158914303), (0.9784892155457895, 0.015205570349049341)]
12	[(0.8089839353668886, 0.03192671335272349), (0.8493882729538318, 0.03188936431413661), (0.9432272616436254, 0.027621533534871796), (0.9849180706338356, 0.01539271829995304)]
13	[(0.737199196433477, 0.03288485148470435), (0.8701249334365363, 0.0328136179427246), (0.9549658846237443, 0.02817859851470539), (0.9885253520214587, 0.015595699233966797)]
14	[(0.7312794602800864, 0.03349646056506046), (0.8867203239457659, 0.03339464368214288), (0.9636189447787045, 0.028487531643526007), (0.9910648553482866, 0.015444222644196199)]
15	[(0.8134826783180344, 0.03580522485226393), (0.8782372517238128, 0.035761715877455164), (0.9764805149741478, 0.02882641344862762), (0.9943615610654687, 0.015551953186305575)]
16	[(0.8472049321432061, 0.03696297320552567), (0.8928728743918181, 0.03692697559264148), (0.966045100169567, 0.0328095696195665), (0.996054444311346, 0.01559674700758999)]
17	[(0.818760324351197, 0.03777340150308913), (0.9056896964532687, 0.037723666032901844), (0.9742899252353441, 0.03296758001417584), (0.9970704467894369, 0.015750966106702208)]
18	[(0.8174801606845937, 0.03837078182146694), (0.9161936329858895, 0.038312763768793175), (0.9767661034728071, 0.03402600413281122), (0.9978018134223974, 0.015635773340698496)]
19	[(0.8611106817222949, 0.03978091076984355), (0.9146586648961232, 0.03974518640281185), (0.9667670101006633, 0.037390643464509876), (0.983169214896242, 0.03470318747669576), (0.9943668241001425, 0.0286763794229227), (0.9985423236479689, 0.015646729185980247)]
20	[(0.8831641355818538, 0.04063696250428773), (0.9235206574954639, 0.040606644970876606), (0.9715388285226223, 0.038297124753606894), (0.9877348039279698, 0.0349557096292978), (0.9959882973097435, 0.02881476887414169), (0.9989780082758659, 0.015655670808646275)]
21	[(0.8713360521721127, 0.041271606098211844), (0.931861523991228, 0.04123541692230017), (0.9754748391423979, 0.038955018273793635), (0.9911374429685876, 0.03504601679828144), (0.997059471838212, 0.028934074081834314), (0.9992548962003729, 0.015660238193003766)]
22	[(0.8740081447503694, 0.04178706562460211), (0.9388551881107436, 0.04174834683089352), (0.9787971419694234, 0.03947158379672192), (0.9929565752124617, 0.03538590832674421), (0.9978167217568079, 0.028977346322203484), (0.9994521989638128, 0.0156640928372247)]
23	[(0.8980726634424837, 0.04268008188815479), (0.9396912875568665, 0.04265300105127987), (0.9772268668785182, 0.04087035683136891), (0.9914175223491983, 0.03779612580195593), (0.9984434078656949, 0.02922584826915241), (0.9996258009737687, 0.015669810169280044)]
24	[(0.9124451973556754, 0.04330206660193579), (0.9453095082429203, 0.04327881766712425), (0.9797649375927651, 0.04159455067311182), (0.992602158071058, 0.03866300573074303), (0.9977208544827959, 0.0333614306561311), (0.9997368996733749, 0.01567110461989145)]
25	[(0.9093396656960356, 0.04379258371357481), (0.9508102801835521, 0.04376634763469902), (0.9822655181370331, 0.04212933220316717), (0.993748862071339, 0.039246748457648584), (0.9983441910211777, 0.03337645366421538), (0.9998103422595588, 0.015671462257545465)]
26	[(0.9121536936571059, 0.044199688713398806), (0.9556255715834132, 0.04417232856556688), (0.9843922910212662, 0.0425794211728096), (0.9953042508661524, 0.03934298271269204), (0.9987616447842321, 0.03349576868485323), (0.9998623396357045, 0.015672346115875146)]
27	[(0.9257486999033471, 0.04478216922716069), (0.9571889477792577, 0.04476121658809551), (0.9840466697936476, 0.04344686829322787), (0.996210996876201, 0.039827866946732286), (0.9991527453953102, 0.033523785465973545), (0.9999043409799565, 0.015673521204907222)]
28	[(0.9351938794982131, 0.04523003684123047), (0.9608888716928162, 0.04521200196909649), (0.9855716866792514, 0.043990417276408816), (0.9957504846762759, 0.04122745242419329), (0.9992087176426886, 0.035084876875311505), (0.9999325557501884, 0.015673935140447796)]
29	[(0.935625516063801, 0.045599214392915505), (0.9645491354800758, 0.045580638775473095), (0.9871580910445361, 0.04441369298527882), (0.9961985363819494, 0.041876236119917976), (0.9994242189621663, 0.0351821439418981), (0.9999516886659944, 0.015674119483263367)]
30	[(0.9382649786197662, 0.04591151970722199), (0.9678715424477584, 0.04589268218214762), (0.9885908017756566, 0.04477019450645727), (0.9971558639187666, 0.04194599658061424), (0.9995522994222118, 0.03549617988269156), (0.9999652182212507, 0.01567434275529164)]

Pmax=? [ (F pc=-1)&(G pc!=-2) ]:
N	Result
1	0.0
2	0.24510566731096162
3	0.7177689782077491
4	0.7850710071761923
5	0.805520052415959
6	0.8284238706964843
7	0.9064761034978603
8	0.9290524836365209
9	0.9402490384875358
10	0.948611390012313
11	0.9634525907655145
12	0.9696758543928555
13	0.9731156951937959
14	0.975724530880377
15	0.978881953953888
16	0.9805184829141466
17	0.981505126745844
18	0.9830214874037397
19	0.9843169481243487
20	0.9851653064429857
21	0.9862902838057092
22	0.9871232312889486
23	0.9877181208580255
24	0.9885008433738187
25	0.9891098181097203
26	0.9895467893615462
27	0.9899005249691969
28	0.9902931933326408
29	0.9906414421631977
30	0.990958479852912

Pmax=? [ (F pc=-1) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.24623427428950753
3	0.728606465766769
4	0.7972775212403788
5	0.8181568236427825
6	0.8412962251671092
7	0.9215246699922385
8	0.9448216926220167
9	0.9565952764560887
10	0.964766237440255
11	0.9805574604034208
12	0.9871820148085343
13	0.9909739698741149
14	0.9936903952538252
15	0.9971610167704269
16	0.9990183056144623
17	1.0001915026261312
18	1.0010740011957795
19	1.0019606350927255
20	1.0025364916821167
21	1.002948183034752
22	1.0032753273126067
23	1.0035741619748975
24	1.0038058758413253
25	1.0039955512716399
26	1.0041596047129742
27	1.004309672728471
28	1.0044420837408021
29	1.0045616949073444
30	1.0046721274336186

Pmax=? [ (F pc=-1)&(G pc!=-2) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.24514007080851127
3	0.7180364760057233
4	0.7855585988587777
5	0.8062099272793066
6	0.8293220308485001
7	0.9076589554018007
8	0.9304628021850851
9	0.9418697034119923
10	0.9504347474936915
