N	Result
0	Error: Invalid range (0-0) for variable "k" ("[0..N]", line 42, column 7).
1	[(0.0, 0.0)]
2	[(0.24510566731096162, 0.0012156110200770866), (0.0, 0.0014508908345058314)]
3	[(0.6571018261856161, 0.014227740549798291), (0.6664000187904753, 0.014214416856769116), (0.7177689782077491, 0.011143373436089902)]
4	[(0.7336557520509462, 0.01551217440158922), (0.7850710071761923, 0.012274186051165082)]
5	[(0.3671887988251521, 0.015962178953022176), (0.7564216021601942, 0.0157783605637592), (0.8054912309591611, 0.012513807050963466), (0.805520052415959, 0.0)]
6	[(0.3706296978271876, 0.016215677950109482), (0.7779754070911088, 0.01600040702277407), (0.8283699163456053, 0.012525146482610758), (0.8284238706964843, 0.0)]
7	[(0.6755102781024632, 0.02319177040116231), (0.719482127784009, 0.023153860817797918), (0.8787649019778089, 0.01827867575894958), (0.8855807631395107, 0.017840526458286057), (0.9064710244606048, 0.014223491073750028)]
8	[(0.7514597376333861, 0.025103190756498816), (0.7638699407355813, 0.025025494067330706), (0.781832277328542, 0.024480282489596966), (0.9109123149257752, 0.018572874664607684), (0.9290510859045208, 0.014646457075167188)]
9	[(0.5855735300950458, 0.026012202300603224), (0.7990790997757491, 0.025881466436048824), (0.8156670967154844, 0.025163900692443942), (0.9246878595124629, 0.018919059179494702), (0.9402439495492325, 0.014966723327539523)]
10	[(0.572142219627356, 0.026457357355732587), (0.8234541286974127, 0.026284409045191272), (0.8430465774862317, 0.025212722092574566), (0.9339087550262188, 0.019027209967782763), (0.9486098885393521, 0.014528501589014814)]
11	[(0.7936615903042723, 0.03034332161543459), (0.0, 0.03037772066343335), (0.8817129471298184, 0.02766960375630909), (0.901881746542473, 0.026455391960473515), (0.954643065742881, 0.019109079108735206), (0.9634525907655145, 0.0151904709540783)]
12	[(0.8154848703510253, 0.031880851592069076), (0.0, 0.03189896331153984), (0.8404133352653654, 0.03118342632936217), (0.9156981382382802, 0.02762910585043546), (0.9613373727830231, 0.01960682700249442), (0.9696758543928555, 0.015359748306245308)]
13	[(0.8217954779492808, 0.032802558146006446), (0.0, 0.03285460111655888), (0.8484724872066298, 0.032464056673049684), (0.9270887599682045, 0.028157613435242854), (0.9659317734668428, 0.019693050095756014), (0.9731156951937959, 0.015416262791369251)]
14	[(0.6987534553206786, 0.03346441956171422), (0.8605065853375402, 0.033164769458312884), (0.935263749026109, 0.0284834187992495), (0.968565187089123, 0.01987374672796196), (0.975724530880377, 0.01541004590896535)]
15	[(0.8420442055922368, 0.03573421543361144), (0.0, 0.0357658950070982), (0.8922984016397855, 0.034217859075598094), (0.948152664077543, 0.028750959187827777), (0.972679299912803, 0.019997691165771745), (0.978881953953888, 0.015533900337783284)]
16	[(0.854591072303025, 0.03689889103942133), (0.0, 0.036919666071264456), (0.873530304464199, 0.03636466887971719), (0.9263106311446387, 0.03375033442525548), (0.9570489718573058, 0.02827803861523503), (0.9805180426081274, 0.015577857895227061)]
17	[(0.8496864328030133, 0.03769707740247323), (0.0, 0.037727371107973556), (0.8799660286686474, 0.03732615528597795), (0.9322347164989131, 0.03446209406179316), (0.9598311483563191, 0.02875406646041727), (0.9815046241215597, 0.015596677734956224)]
18	[(0.7799932455060621, 0.038322434064684816), (0.8877165926300765, 0.03797968713945006), (0.9372487652746685, 0.03494203301168993), (0.962154323538894, 0.028975147691025258), (0.9822231102029294, 0.015604376951146155), (0.9830214874037397, 0.0)]
19	[(0.8739759319652695, 0.039701787853598916), (0.0, 0.039726697437378784), (0.9045797823714368, 0.03879871707795259), (0.9457707094633537, 0.035200213056039896), (0.9650409417095746, 0.02904159107234123), (0.9829316532322359, 0.015628951725814796), (0.9843169481243487, 0.0)]
20	[(0.8613647387405248, 0.04057087973372535), (0.897079948563219, 0.04012986704408757), (0.9335557615249664, 0.03824343400382253), (0.9580558209731027, 0.03320619354232954), (0.9833530239003798, 0.015638480219594058), (0.9851653064429857, 0.0)]
21	[(0.8308394337216571, 0.041210726263046296), (0.9010224490725007, 0.04086627373931313), (0.9368550893676664, 0.038893614787688574), (0.9602623186838762, 0.03327401326713769), (0.9836221206626005, 0.01564309254682963), (0.9862902838057092, 0.0)]
22	[(0.8329939876201976, 0.04172379018575883), (0.9057549634017144, 0.04143340329639865), (0.9396451865163937, 0.03940770056782109), (0.9598465546438618, 0.034398022148028076), (0.9859030141555574, 0.013081046554682913), (0.9871232312889486, 0.0)]
23	[(0.8964835178723902, 0.04259288143825209), (0.0, 0.04261222948254722), (0.9153343753654377, 0.04203861638667616), (0.9458701581077937, 0.039559439956725145), (0.961684189183671, 0.03442991129148062), (0.9865901520084576, 0.012603684616886532), (0.9877181208580255, 0.0)]
24	[(0.8697804558604849, 0.04323087281255928), (0.9128380059346557, 0.042889965883454145), (0.9427207446491953, 0.04094972490697707), (0.9618020289774815, 0.03508446884875167), (0.9868905704998772, 0.012505793727975317), (0.9885008433738187, 0.0)]
25	[(0.8662143245681789, 0.04371866294295454), (0.9152575779219447, 0.04345312202260892), (0.9434300776291228, 0.04164812001397627), (0.96216075619504, 0.03541802728768891), (0.9881611193774142, 0.011182672872278683), (0.9891098181097203, 0.0)]
26	[(0.8686157522742326, 0.04412346044360871), (0.9184426583625812, 0.04389377410239007), (0.9470400833553207, 0.04172127091387019), (0.9627220849543817, 0.03549516451306247), (0.9886002787284103, 0.01087833390116689), (0.9895467893615462, 0.0)]
27	[(0.9120856737089652, 0.04468780050278678), (0.0, 0.04470238824094822), (0.929100198281957, 0.04411012146484539), (0.9632714578494591, 0.035494143099562676), (0.9899005249691969, 0.0)]
28	[(0.9153599562912218, 0.04513557203465814), (0.0, 0.04514741983018647), (0.9323502913278645, 0.044505419686202016), (0.9606691145907326, 0.037803918749192235), (0.9902931933326408, 0.0)]
29	[(0.9075841550003451, 0.04550659421262824), (0.9312736165343192, 0.04504497807126937), (0.9599372144826727, 0.038708212782650124), (0.9906414421631977, 0.0)]
30	[(0.8929147270254746, 0.04582440402468766), (0.9321366262228434, 0.04543788919951633), (0.9595784013325324, 0.03927811013082899), (0.990958479852912, 0.0)]
