N	Result
0	Error: Invalid range (0-0) for variable "k" ("[0..N]", line 42, column 7).
1	1.0
2	0.9894430722651582
3	0.6801639991680111
4	0.42231895519881013
5	0.27676219780279
6	0.18750662880841407
7	0.13101332402243493
8	0.09360919984673577
9	0.06779330643434045
10	0.049504083077475
11	0.036261219887283924
12	0.026580227148862212
13	0.019485078894363017
14	0.014284482255693232
15	0.010473643614793193
16	0.007681584212679948
17	0.005635709119127252
18	0.0041361628075944346
19	0.0030366492057668504
20	0.0022301434477383086
21	0.001638343453186586
22	0.0012039390442571962
23	8.849639108814422E-4
24	6.506729493136465E-4
25	4.785320234859114E-4
26	3.520184774439272E-4
27	2.59012909954226E-4
28	1.906225635698311E-4
29	1.4032005409991832E-4
30	1.033126448097832E-4
