N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	1.0
2	0.5179467771492311
3	0.05513769711588761
4	0.029195667305780434
5	0.0038450856889425114
6	7.41268958758684E-4
7	1.2614727247207193E-4
8	3.7866480290834874E-5
9	7.719967677309512E-6
10	1.642886697610543E-6
11	3.511642591831973E-7
12	8.686800835176387E-8
13	2.0227571837126146E-8
14	4.6720447145091506E-9
15	1.0814058589795665E-9
16	2.584589922898265E-10
17	6.150086506787568E-11
18	1.457478023482136E-11
19	3.452046645988256E-12
20	8.228472093513978E-13
21	1.9629413425278813E-13
22	4.678638779856378E-14
23	1.1146849212385657E-14
24	2.658801495635285E-15
25	6.344858412442577E-16
26	1.513964761120883E-16
27	3.61202826311902E-17
28	8.61921568862499E-18
29	2.0570559906262E-18
30	4.909403357662744E-19
