N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	[(0.0, 0.001553661062863517)]
2	[(0.29017169312085744, 0.2638700925088613)]
3	[(0.60469424053625, 0.5405004577447103), (0.6103636220435266, 0.5248457926032409)]
4	[(0.700756938590748, 0.648303542065622), (0.7335406394834074, 0.6482572378562985), (0.7351045865468004, 0.6439387654541545), (0.7404904989787133, 0.6282765116257819)]
5	[(0.7495807701256572, 0.7036182572024597), (0.7629711157195282, 0.703599218699352), (0.792762103413946, 0.7019807535321144), (0.7941261887105068, 0.7014126118983088), (0.8009413654129136, 0.6799799983832652), (0.8017673594066355, 0.671293480899418)]
6	[(0.7929157748662263, 0.7412932580998854), (0.8050582235104224, 0.7406335911436516), (0.8344339539442006, 0.737866070593878), (0.8416053154578869, 0.7141939223255918), (0.8423890241997799, 0.7082609455568178)]
7	[(0.8371884617513251, 0.7824938076749757), (0.8540921458463455, 0.7811889780040966), (0.8746364296872169, 0.7719754012659902), (0.8775401295864089, 0.7621915635983548), (0.8810297277019996, 0.7432101237399565)]
8	[(0.8758887871857735, 0.8171716247769678), (0.9068971243434361, 0.7988903720388251), (0.9118276988143231, 0.7697856233522244)]
9	[(0.8897115939070472, 0.8440165079294597), (0.9004098496006843, 0.8436982310195638), (0.9302307533511391, 0.8191098386558865), (0.9343908761756692, 0.7886017606300432)]
10	[(0.9093847020209365, 0.8657883293840878), (0.9186175765451849, 0.8654871745337653), (0.9390308923876514, 0.8515302338947213), (0.9504910865624763, 0.8016947801695)]
11	[(0.8780993232737848, 0.8979595650680491), (0.8919506151991392, 0.8973301763660284), (0.9367438856328341, 0.8840628427126415), (0.9473007648294158, 0.8769834643906917), (0.9604683259729467, 0.8419707278530338), (0.9626422382192309, 0.8116267539745678)]
12	[(0.8906166653488682, 0.9259367703828344), (0.9068370789060778, 0.9252150772718424), (0.9202196332992865, 0.9205364232267038), (0.9589882127095726, 0.8893240775413438), (0.9703469146356973, 0.8497545760624095), (0.9719367745197968, 0.8192823751611454)]
13	[(0.9083423792338032, 0.9487118604374168), (0.920988216770734, 0.9481434022768627), (0.9391070638794458, 0.9375507412498041), (0.9665315147079909, 0.9031911451063472), (0.9743302680002361, 0.8783964415501715), (0.9789755886524467, 0.8250925052617151)]
14	[(0.9244309491259532, 0.9676939012020389), (0.9352841972840038, 0.9671491220816374), (0.9509333408724971, 0.9547497973670626), (0.974889992618853, 0.909671724841837), (0.9807313632058667, 0.8837064474108557), (0.9842273006486937, 0.8294129165891913)]
15	[(0.9364584662515318, 0.9835816296085884), (0.9454867762021769, 0.9831278203553588), (0.9620263901954307, 0.9659849625428961), (0.9807500031353854, 0.9162447550007571), (0.9855305225146895, 0.8874790883477275), (0.9881510922236405, 0.8326349728182406)]
16	[(0.9439913864972083, 0.9971398864955862), (0.954661823018056, 0.9964182600754782), (0.9689608356565648, 0.9802438971860445), (0.9847030347531687, 0.9240838610584838), (0.989094673833722, 0.8908936194871937), (0.9910978922312832, 0.8350553040388491)]
17	[(0.9484025943692937, 1.0090673168258113), (0.9603916848853842, 1.0081191522924697), (0.9714171523378822, 0.9999088684958207), (0.9805149932627353, 0.9710200725474392), (0.9904677203605723, 0.9118432673849842), (0.9933160907002383, 0.8368786168657291)]
18	[(0.9539777160208094, 1.020038107189224), (0.963300402286319, 1.0193466221362715), (0.9768619457707689, 1.0090578571533382), (0.9846897841836653, 0.9793856619298783), (0.992832287871384, 0.9139281654043565), (0.9949826946288894, 0.8382484564577767)]
19	[(0.9595432024492637, 1.0298481551749346), (0.9672057745471057, 1.0292885697162473), (0.9800379174678903, 1.0192925652249993), (0.9869642789722275, 0.9941427995498695), (0.9946053549755653, 0.9156586315269242), (0.9962331924069124, 0.8392758209882477)]
20	[(0.9646993942494904, 1.0385156232666706), (0.9710286064577619, 1.0380714753747895), (0.9829544143789009, 1.0275280106638751), (0.9893029550437693, 1.0042224640920219), (0.9955448834894701, 0.9255691758426794), (0.9971714874019507, 0.8400465406844562)]
21	[(0.9692957137779807, 1.0460647092149569), (0.9746635742575757, 1.0457012246622304), (0.9850901482393764, 1.0356414960458298), (0.99140067780402, 1.0117697349173849), (0.9966549611362906, 0.926481799550149), (0.9978761132282866, 0.8406253024290189)]
22	[(0.9733937043399672, 1.0526070046348208), (0.9779991986513139, 1.0523026952278596), (0.9879494558195504, 1.0409165046244093), (0.9933032523472883, 1.0160731386953294), (0.9974252188267891, 0.9293546420234479), (0.9984053129033241, 0.8410600010101834)]
23	[(0.9768935017398443, 1.0582637419759733), (0.9809664746960609, 1.057992281129996), (0.9947312747646381, 1.0204480445352069), (0.9988026810265063, 0.8413864015864249)]
