cte_est,he_est,action0,action1,action2
0,0,1.0,0.6666666666666667,0.6666666666666667
0,1,1.0,0.0,1.0
0,2,1.0,1.0,0.0
1,0,0.9166666666666666,0.5833333333333334,0.6666666666666667
1,1,0.8125,0.0,1.0
1,2,1.0,1.0,0.0
2,0,0.8888888888888888,0.6666666666666667,0.5555555555555556
2,1,1.0,0.0,0.9166666666666666
2,2,0.6666666666666666,1.0,0.0
3,0,0.6666666666666666,0.0,0.6666666666666666
3,1,0.0,0.0,1.0
3,2,1.0,1.0,0.0
4,0,0.7777777777777778,0.6666666666666666,0.0
4,1,1.0,0.0,0.8333333333333333
4,2,0.0,1.0,0.0
