cte=0 he=0 v=1 cte_est=0 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=0 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=0 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=1 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=1 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=1 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=2 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=2 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=2 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=3 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=3 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=3 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=4 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=4 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=0 v=1 cte_est=4 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (1.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=0 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=0 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=0 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=1 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=1 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=1 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=2 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=2 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=2 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=3 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=3 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=3 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=4 he_est=0 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=4 he_est=1 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
cte=0 he=1 v=1 cte_est=4 he_est=2 pc=3 k=1 a=-1 crash=0  ([set(), set(), set()], [(1.0, 0), (0.0, 1), (1.0, 2)])
